,cluster_id,cluster_title,verb_list,actual_data_list,member_lemma
10,10,emphasize,"['accentuate' 'try' 'punctuate' 'emphasise' 'stress' 'accent' 'strain'
 'underscore' 'underline' 'emphasize']","[['accentuate' '2']
 ['emphasise' '4']
 ['emphasize' '43']
 ['stress' '3']
 ['underline' '7']
 ['underscore' '20']]",['accentuate' 'emphasise' 'emphasize' 'stress' 'underline' 'underscore']
11,11,include,"['get' 'arrest' 'acknowledge' 'becharm' 'overtake' 'fag_out' 'eat_up'
 'set_aside' 'catch_up_with' 'grant' 'watch' 'let' 'go_for' 'allow_in'
 'take_up' 'lease' 'take_on' 'let_in' 'fascinate' 'seize' 'fatigue' 'hold'
 'wear_down' 'captivate' 'beguile' 'take_hold_of' 'catch' 'permit' 'bear'
 'presume' 'hitch' 'unsay' 'usurp' 'overhear' 'take_into_account'
 'take_for_granted' 'capture' 'tire_out' 'take_in' 'weary' 'appropriate'
 'tire' 'entrance' 'hold_out' 'bewitch' 'swallow_up' 'wear_thin' 'feign'
 'get_down' 'swallow' 'take_back' 'charm' 'wear' 'sham' 'book' 'trip_up'
 'break' 'provide' 'reserve' 'model' 'take_over' 'enchant' 'acquire'
 'immerse' 'consent' 'rent' 'have_on' 'accommodate' 'tolerate' 'jade'
 'simulate' 'don' 'put_on' 'imitate' 'give_up' 'copy' 'grab' 'countenance'
 'live_with' 'accept' 'wear_off' 'allow_for' 'withdraw' 'make_bold' 'bury'
 'conquer' 'pick_up' 'dare' 'bust' 'intromit' 'wear_out' 'fall_apart'
 'leave' 'trance' 'assume' 'take' 'outwear' 'include' 'have' 'fag'
 'get_into' 'enamour' 'wear_upon' 'earmark' 'endure' 'adopt' 'view'
 'strike' 'enamor' 'allow' 'arrogate' 'see' 'admit']","[['accept' '25']
 ['admit' '330']
 ['allow' '199']
 ['appropriate' '8']
 ['assume' '52']
 ['capture' '55']
 ['catch' '3']
 ['consent' '20']
 ['include' '3097']
 ['let' '4']
 ['permit' '15']
 ['presume' '20']
 ['reserve' '66']
 ['simulate' '9']
 ['swallow' '1']
 ['wear' '32']]","['accept' 'admit' 'allow' 'appropriate' 'assume' 'capture' 'catch'
 'consent' 'include' 'let' 'permit' 'presume' 'reserve' 'simulate'
 'swallow' 'wear']"
12,12,access,['access' 'get_at'],[['access' '13']],['access']
13,13,adjust,"['range' 'correct' 'line_up' 'array' 'fit' 'ordinate' 'beseem' 'lodge'
 'organize' 'befit' 'become' 'coordinate' 'align' 'conform' 'aline'
 'accommodate' 'adjust' 'oblige' 'reconcile' 'adapt' 'organise' 'suit'
 'hold' 'set' 'conciliate' 'admit' 'lay_out' 'set_out']","[['accommodate' '2']
 ['adapt' '37']
 ['adjust' '617']
 ['align' '7']
 ['array' '1']
 ['conform' '1']
 ['coordinate' '13']
 ['suit' '7']]","['accommodate' 'adapt' 'adjust' 'align' 'array' 'conform' 'coordinate'
 'suit']"
14,14,follow,"['keep_company' 'observe' 'come_through' 'follow' 'comply' 'espouse'
 'company' 'deliver_the_goods' 'review' 'survey' 'postdate' 'go_over'
 'stick_to' 'watch' 'pursue' 'fall_out' 'keep_abreast' 'come' 'attach_to'
 'win' 'succeed' 'travel_along' 'conform_to' 'surveil' 'be' 'go_with'
 'come_with' 'keep_up' 'bring_home_the_bacon' 'adopt' 'take_after'
 'appraise' 'accompany' 'keep_an_eye_on' 'trace' 'companion' 'play_along'
 'abide_by' 'stick_with' 'watch_over' 'come_after']","[['accompany' '39']
 ['follow' '2663']
 ['succeed' '3']
 ['survey' '17']]",['accompany' 'follow' 'succeed' 'survey']
15,15,perform,"['mint' 'do' 'achieve' 'collide_with' 'move' 'reach' 'light_upon'
 'come_upon' 'fill' 'put_to_death' 'discover' 'run' 'happen_upon'
 'strickle' 'carry_out' 'fall' 'live_up_to' 'fulfill' 'come_across'
 'chance_on' 'impinge_on' 'shine' 'excise' 'assume' 'walk_out' 'expunge'
 'affect' 'carry_through' 'arrive_at' 'take' 'take_up' 'come_to' 'perform'
 'hit' 'make' 'accomplish' 'coin' 'meet' 'gain' 'fulfil' 'execute'
 'strike' 'scratch' 'satisfy' 'fall_upon' 'run_into' 'action'
 'chance_upon' 'impress' 'attain']","[['accomplish' '1']
 ['achieve' '281']
 ['attain' '11']
 ['execute' '7']
 ['fulfil' '19']
 ['perform' '836']
 ['strike' '8']]",['accomplish' 'achieve' 'attain' 'execute' 'fulfil' 'perform' 'strike']
16,16,match,"['submit' 'coincide' 'resign' 'consort' 'cede' 'check' 'yield' 'concord'
 'pit' 'fit_in' 'equalize' 'tally' 'twin' 'play_off' 'fit' 'stand_for'
 'give' 'go' 'couple' 'allot' 'grant' 'chord' 'deed_over' 'mate'
 'correspond' 'duplicate' 'equate' 'jibe' 'agree' 'accommodate'
 'conform_to' 'make_up' 'outfit' 'concede' 'reconcile' 'pair' 'touch'
 'concur' 'meet' 'settle' 'represent' 'gibe' 'match' 'suit' 'hold' 'award'
 'parallel' 'equip' 'accord' 'oppose' 'harmonise' 'rival' 'patch_up'
 'conciliate' 'fit_out' 'allow' 'equal' 'equalise' 'cope_with' 'harmonize']","[['accord' '332']
 ['agree' '17']
 ['concur' '1']
 ['correspond' '101']
 ['fit' '21']
 ['grant' '20']
 ['harmonize' '3']
 ['match' '374']
 ['reconcile' '1']
 ['twin' '1']]","['accord' 'agree' 'concur' 'correspond' 'fit' 'grant' 'harmonize' 'match'
 'reconcile' 'twin']"
17,17,report,['calculate' 'describe' 'report' 'cover' 'answer_for' 'account'],"[['account' '80']
 ['report' '2271']]",['account' 'report']
18,18,accredit,['recognise' 'accredit' 'recognize' 'credit'],[['accredit' '1']],['accredit']
19,19,accrue,['accrue' 'fall'],[['accrue' '6']],['accrue']
20,20,collect,"['write' 'pull_in' 'frame' 'redact' 'put' 'compose' 'couch' 'pucker'
 'hoard' 'border' 'tuck' 'pull_together' 'pick_up' 'cumulate' 'pen'
 'collect' 'garner' 'indite' 'accumulate' 'foregather' 'take_in' 'roll_up'
 'gather' 'earn' 'set_up' 'cast' 'entrap' 'assemble' 'save' 'compile'
 'frame_up' 'meet' 'get_together' 'gain' 'conglomerate' 'amass' 'ensnare'
 'forgather' 'publish' 'call_for' 'gather_up' 'draw_up' 'pile_up'
 'frame_in' 'spell' 'drop_a_line']","[['accumulate' '34']
 ['collect' '950']
 ['compile' '8']
 ['compose' '38']
 ['frame' '1']
 ['garner' '2']
 ['gather' '23']
 ['write' '33']]","['accumulate' 'collect' 'compile' 'compose' 'frame' 'garner' 'gather'
 'write']"
21,21,ache,['pine' 'smart' 'languish' 'suffer' 'yearn' 'hurt' 'yen' 'ache'],[['ache' '17']],['ache']
22,22,acknowledge,['know' 'receipt' 'acknowledge' 'recognize' 'notice' 'recognise' 'admit'],"[['acknowledge' '12']
 ['receipt' '4']]",['acknowledge' 'receipt']
23,23,acquire,"['get' 'produce' 'follow' 'espouse' 'embrace' 'sweep_up' 'take_in'
 'evolve' 'take_over' 'assume' 'acquire' 'take' 'take_up' 'dramatize'
 'win' 'take_on' 'dramatise' 'develop' 'gain' 'grow' 'borrow' 'adopt'
 'larn' 'learn']","[['acquire' '194']
 ['adopt' '20']]",['acquire' 'adopt']
24,24,play,"['playact' 'do' 'move' 'wreak' 'wager' 'bring' 'flirt' 'run' 'trifle'
 'encounter' 'dally' 'make_for' 'spiel' 'diddle' 'act' 'act_as' 'fiddle'
 'behave' 'pretend' 'take_on' 'toy' 'roleplay' 'meet' 'represent' 'bet'
 'play' 'recreate' 'dissemble' 'work']","[['act' '23']
 ['play' '122']]",['act' 'play']
25,25,activate,"['trigger_off' 'sparkle' 'trigger' 'trip' 'touch_off' 'activate'
 'spark_off' 'aerate' 'actuate' 'set_off' 'spark']","[['activate' '110']
 ['spark' '9']
 ['trigger' '85']]",['activate' 'spark' 'trigger']
26,26,provide,"['furnish' 'get' 'transmit' 'fit' 'wreak' 'bestow' 'make_for' 'summate'
 'correspond' 'append' 'score' 'fetch' 'jibe' 'bring_in' 'add_on'
 'channel' 'resume' 'bequeath' 'tack_on' 'supplement' 'institute' 'work'
 'depart' 'bring' 'add' 'lead' 'come' 'get_out' 'rack_up' 'pull_up_stakes'
 'go_out' 'land' 'render' 'add_up' 'pass_on' 'offer' 'amount' 'total'
 'entrust' 'check' 'lend' 'chalk_up' 'give' 'convey' 'provide' 'supply'
 'will' 'impart' 'kick_in' 'hit' 'carry' 'bring_home_the_bacon' 'number'
 'play' 'forget' 'affix' 'conduce' 'tot' 'leave_behind' 'contribute'
 'summarize' 'allow_for' 'tally' 'sum_up' 'put_up' 'go_away' 'tot_up'
 'summarise' 'leave' 'tag_on' 'sum' 'tack' 'take' 'ply' 'loan' 'agree'
 'conduct' 'cater' 'add_together' 'chip_in' 'hang_on' 'gibe' 'match'
 'result' 'tote_up' 'issue' 'allow' 'go_forth' 'leave_alone' 'exit']","[['add' '90']
 ['append' '2']
 ['bring' '34']
 ['contribute' '227']
 ['impart' '2']
 ['leave' '118']
 ['lend' '2']
 ['provide' '1120']
 ['sum' '2']
 ['summarise' '4']
 ['summarize' '56']
 ['supplement' '13']
 ['supply' '10']
 ['tally' '1']
 ['total' '3']]","['add' 'append' 'bring' 'contribute' 'impart' 'leave' 'lend' 'provide'
 'sum' 'summarise' 'summarize' 'supplement' 'supply' 'tally' 'total']"
27,27,cover,"['brood' 'verbalise' 'comprehend' 'dog' 'swing_out' 'pass_over'
 'drop_behind' 'speak' 'spill_the_beans' 'queer' 'bilk' 'swing' 'sing'
 'crossbreed' 'extend' 'blab' 'call' 'wrap_up' 'hatch' 'spread_over'
 'encompass' 'embrace' 'breed' 'hybridize' 'traverse' 'frustrate' 'handle'
 'sweep' 'compensate' 'foil' 'underwrite' 'deal' 'broom' 'tangle' 'chase'
 'shack' 'hide' 'hang_back' 'overlay' 'spill' 'direct' 'overcompensate'
 'span' 'baffle' 'utter' 'trail' 'get_over' 'come_up_to' 'embroil'
 'interbreed' 'tag' 'chase_after' 'continue' 'plow' 'intersect' 'track'
 'train' 'shroud' 'address' 'verbalize' 'insure' 'cross' 'thwart'
 'go_after' 'turn_to' 'peach' 'enshroud' 'report' 'cover' 'tail'
 'babble_out' 'scotch' 'hybridise' 'blab_out' 'talk'
 'let_the_cat_out_of_the_bag' 'drag' 'drag_in' 'spoil' 'babble' 'sweep_up'
 'give_chase' 'tattle' 'get_behind' 'accost' 'mouth' 'brush' 'lecture'
 'sail' 'drop_back' 'treat' 'incubate' 'cover_up' 'get_across'
 'cut_across' 'cut_through']","[['address' '53']
 ['cover' '62']
 ['cross' '7']
 ['encompass' '10']
 ['incubate' '10']
 ['span' '17']
 ['speak' '3']
 ['sweep' '1']
 ['talk' '1']
 ['track' '37']
 ['trail' '4']]","['address' 'cover' 'cross' 'encompass' 'incubate' 'span' 'speak' 'sweep'
 'talk' 'track' 'trail']"
28,28,bind,"['link_up' 'splice' 'rive' 'link' 'truss' 'tie' 'stand_by' 'stick_to'
 'cling' 'stick_by' 'attach' 'adhere' 'obligate' 'marry' 'constipate'
 'oblige' 'wed' 'hold_fast' 'bond' 'bandage' 'bind' 'hold' 'connect'
 'cleave' 'split' 'stick' 'cohere' 'tie_down' 'draw' 'tie_up']","[['adhere' '9']
 ['bind' '987']
 ['cleave' '1']
 ['tie' '2']]",['adhere' 'bind' 'cleave' 'tie']
29,29,adjourn,['withdraw' 'adjourn' 'break_up' 'retire' 'recess'],[['adjourn' '1']],['adjourn']
30,30,resolve,"['solve' 'resolve' 'try' 'judge' 'purpose' 'adjudicate' 'dissolve'
 'break_up' 'answer' 'conclude' 'decide' 'settle' 'determine'
 '""make_up_ones_mind""']","[['adjudicate' '4']
 ['decide' '20']
 ['resolve' '104']]",['adjudicate' 'decide' 'resolve']
31,31,treat,"['dish_out' 'trade' 'portion_out' 'pull_off' 'get_by' 'allot' 'grant'
 'disperse' 'pass_out' 'administrate' 'consider' 'partake' 'flounder'
 'careen' 'portion' 'carry_on' 'circularise' 'distribute' 'make_do'
 'pass_around' 'handle' 'grapple' 'deal' 'reel' 'sell' 'wangle' 'care_for'
 'swag' 'pass_on' 'superintend' 'care' 'keel' 'mete_out' 'parcel_out' 'do'
 'manage' 'plow' 'circularize' 'supervise' 'stagger' 'make_out' 'give_out'
 'assign' 'address' 'wield' 'hand_out' 'dispense' 'negociate' 'dole_out'
 'administer' 'spread' 'cover' 'cope' 'accord' 'bring_off' 'carry_off'
 'monitor' 'diffuse' 'broadcast' 'regale' 'look_at' 'lurch' 'contend'
 'apportion' 'propagate' 'circulate' 'do_by' 'take' 'divvy_up' 'process'
 'conduct' 'share' 'shell_out' 'palm' 'lot' 'treat' 'finagle' 'deal_out'
 'partake_in' 'disseminate' 'oversee']","[['administer' '563']
 ['administrate' '14']
 ['allot' '4']
 ['deal' '7']
 ['dispense' '3']
 ['distribute' '43']
 ['handle' '2']
 ['manage' '67']
 ['oversee' '1']
 ['propagate' '8']
 ['share' '42']
 ['stagger' '2']
 ['supervise' '2']
 ['treat' '671']]","['administer' 'administrate' 'allot' 'deal' 'dispense' 'distribute'
 'handle' 'manage' 'oversee' 'propagate' 'share' 'stagger' 'supervise'
 'treat']"
32,32,admix,['admix'],[['admix' '5']],['admix']
33,33,adsorb,['adsorb'],[['adsorb' '19']],['adsorb']
34,34,boost,"['get_up' 'get_ahead' 'kick_upstairs' 'go_on' 'gain_ground' 'boost' 'hike'
 'come_along' 'lift' 'advance' 'march_on' 'further' 'move_on' 'get_along'
 'raise' 'supercharge' 'set_ahead' 'get_on' 'win' 'upgrade' 'bring_up'
 'bring_forward' 'build' 'encourage' 'push' 'advertize' 'gain'
 'make_headway' 'hike_up' 'shape_up' 'work_up' 'progress' 'throw_out'
 'pass_on' 'build_up' 'promote' 'elevate' 'advertise' 'pull_ahead'
 'come_on']","[['advance' '9']
 ['boost' '448']
 ['elevate' '143']
 ['encourage' '51']
 ['progress' '43']
 ['promote' '108']]",['advance' 'boost' 'elevate' 'encourage' 'progress' 'promote']
35,35,advantage,['advantage'],[['advantage' '1']],['advantage']
36,36,notify,"['propose' 'apprise' 'send_word' 'advise' 'give_notice' 'suggest'
 'apprize' 'counsel' 'notify' 'rede']","[['advise' '21']
 ['counsel' '6']
 ['notify' '25']]",['advise' 'counsel' 'notify']
37,37,recommend,['urge' 'preach' 'commend' 'advocate' 'recommend'],"[['advocate' '9']
 ['recommend' '361']]",['advocate' 'recommend']
38,38,aerosolise,['aerosolise' 'aerosolize'],"[['aerosolise' '5']
 ['aerosolize' '3']]",['aerosolise' 'aerosolize']
39,39,affect,"['bear_upon' 'pretend' 'strike' 'impact' 'regard' 'touch' 'touch_on'
 'move' 'involve' 'feign' 'dissemble' 'affect' 'impress' 'sham' 'bear_on']","[['affect' '492']
 ['impact' '97']]",['affect' 'impact']
40,40,associate,"['link_up' 'get_in_touch' 'consort' 'link' 'touch_base' 'fall_in' 'yoke'
 'tie' 'plug_into' 'bring_together' 'tie_in' 'relate' 'plug_in' 'join'
 'assort' 'associate' 'get_together' 'consociate' 'connect' 'conjoin'
 'unite' 'affiliate' 'colligate']","[['affiliate' '7']
 ['associate' '1982']
 ['connect' '4']
 ['join' '2']
 ['link' '350']]",['affiliate' 'associate' 'connect' 'join' 'link']
41,41,confirm,"['affirm' 'corroborate' 'substantiate' 'incarnate' 'insist' 'underpin'
 'put_forward' 'swan' 'actualize' 'body_forth' 'reassert' 'embody'
 'bear_out' 'avow' 'verify' 'realise' 'assert' 'asseverate' 'validate'
 'realize' 'control' 'maintain' 'actualise' 'swear' 'aver' 'confirm'
 'support' 'sustain']","[['affirm' '3']
 ['assert' '2']
 ['confirm' '1123']
 ['corroborate' '13']
 ['substantiate' '2']
 ['verify' '42']]",['affirm' 'assert' 'confirm' 'corroborate' 'substantiate' 'verify']
42,42,afflict,['smite' 'afflict'],[['afflict' '6']],['afflict']
43,43,afford,['open' 'spread_out' 'yield' 'open_up' 'unfold' 'spread' 'give' 'afford'],"[['afford' '25']
 ['open' '9']]",['afford' 'open']
44,44,age,['get_on' 'age' 'senesce' 'maturate' 'suppurate' 'grow' 'mature' 'ripen'],"[['age' '830']
 ['mature' '10']]",['age' 'mature']
