,Lemmatized Verb,Frequency,Synset,Status
67,acquire,194,"['develop' 'adopt' 'acquire' 'grow' 'win' 'learn' 'larn' 'gain' 'assume'
 'produce' 'take' 'take_on' 'get' 'evolve']",valid
68,act,23,"['act_as' 'move' 'roleplay' 'play' 'work' 'pretend' 'do' 'represent' 'act'
 'behave' 'dissemble' 'playact']",valid
69,activate,110,"['touch_off' 'set_off' 'trigger_off' 'aerate' 'trip' 'spark' 'spark_off'
 'activate' 'trigger' 'actuate']",valid
70,active,1,,invalid
71,ad26cov2s,2,,invalid
72,ad5ÃÂÂvectored,1,,invalid
73,adapt,37,['adjust' 'accommodate' 'adapt' 'conform'],valid
74,add,90,"['tally' 'add' 'append' 'bestow' 'contribute' 'tot_up' 'sum' 'add_up'
 'supply' 'bring' 'lend' 'add_together' 'tot' 'sum_up' 'impart' 'summate'
 'tote_up' 'total']",valid
75,address,53,"['cover' 'call' 'plow' 'address' 'come_up_to' 'treat' 'handle' 'deal'
 'turn_to' 'speak' 'accost' 'direct']",valid
76,adenovirusÃÂÂbased,1,,invalid
77,adhere,9,"['bond' 'stick_to' 'stick' 'bind' 'stand_by' 'cohere' 'cleave' 'cling'
 'stick_by' 'adhere' 'hold_fast']",valid
78,adjourn,1,['withdraw' 'adjourn' 'break_up' 'retire' 'recess'],valid
79,adjudicate,4,['judge' 'settle' 'adjudicate' 'try' 'decide' 'resolve'],valid
80,adjunct,1,,invalid
81,adjust,617,['align' 'conform' 'aline' 'set' 'correct' 'adjust' 'adapt' 'line_up'],valid
82,adjuvanted,117,,invalid
83,adjuvated,2,,invalid
84,administer,563,"['deal_out' 'administer' 'parcel_out' 'shell_out' 'administrate'
 'dish_out' 'dole_out' 'allot' 'dispense' 'distribute' 'deal' 'lot'
 'mete_out']",valid
85,administrate,14,['administer' 'administrate'],valid
86,administrationÃÂÂapproved,1,,invalid
87,admit,330,"['include' 'allow_in' 'intromit' 'acknowledge' 'accept' 'let_in' 'allow'
 'admit' 'hold' 'take' 'take_on' 'accommodate']",valid
88,admix,5,['admix'],valid
89,adopt,20,"['dramatize' 'follow' 'adopt' 'borrow' 'acquire' 'take_on' 'dramatise'
 'take_in' 'sweep_up' 'espouse' 'assume' 'embrace' 'take' 'take_up'
 'take_over']",valid
90,adsorb,19,['adsorb'],valid
91,advance,9,"['bring_forward' 'get_ahead' 'march_on' 'promote' 'boost' 'progress'
 'gain_ground' 'supercharge' 'kick_upstairs' 'go_on' 'get_along' 'upgrade'
 'get_on' 'throw_out' 'encourage' 'raise' 'come_along' 'advance' 'further'
 'gain' 'move_on' 'shape_up' 'make_headway' 'pull_ahead' 'set_ahead' 'win'
 'elevate' 'pass_on' 'come_on']",valid
92,advantage,1,['advantage'],valid
93,advent,2,,invalid
94,adverse,1,,invalid
95,advise,21,"['suggest' 'apprize' 'rede' 'give_notice' 'counsel' 'notify' 'send_word'
 'advise' 'apprise' 'propose']",valid
96,advocate,9,['advocate' 'preach' 'recommend' 'urge'],valid
97,adÃÂÂbased,1,,invalid
98,aefis,9,,invalid
99,aerosol,7,,invalid
100,aerosolise,5,['aerosolize' 'aerosolise'],valid
101,aerosolize,3,['aerosolize' 'aerosolise'],valid
102,aesis,3,,invalid
103,affect,492,"['bear_on' 'touch_on' 'touch' 'involve' 'impress' 'move' 'feign' 'impact'
 'regard' 'sham' 'pretend' 'strike' 'bear_upon' 'affect' 'dissemble']",valid
104,affiliate,7,['associate' 'affiliate' 'assort' 'consort'],valid
105,affimed,1,,invalid
106,affirm,3,"['substantiate' 'assert' 'aver' 'support' 'confirm' 'sustain' 'verify'
 'swan' 'avow' 'corroborate' 'affirm' 'swear']",valid
107,afflict,6,['smite' 'afflict'],valid
108,afford,25,['yield' 'afford' 'give' 'open'],valid
109,aforementioned,6,,invalid
110,aftertdap,1,,invalid
111,age,830,['age' 'senesce' 'maturate' 'mature' 'get_on'],valid
112,ageÃÂÂmatched,1,,invalid
113,agglutinate,1,['agglutinate'],valid
114,aggravate,6,['exasperate' 'worsen' 'aggravate' 'exacerbate'],valid
115,aggregate,5,['aggregate' 'combine'],valid
116,agincourt,1,,invalid
117,agmg0201,1,,invalid
118,agree,17,"['tally' 'concur' 'concord' 'gibe' 'accord' 'harmonize' 'fit' 'correspond'
 'jibe' 'check' 'hold' 'harmonise' 'agree' 'consort' 'fit_in' 'match']",valid
119,ai,5,,invalid
120,aid,20,['assist' 'help' 'aid'],valid
121,aied,1,,invalid
122,aim,798,"['drive' 'take_aim' 'aim' 'purport' 'point' 'draw_a_bead_on' 'train'
 'target' 'shoot_for' 'aspire' 'propose' 'take' 'calculate' 'get'
 'purpose' 'direct' 'place']",valid
123,ait,3,,invalid
124,alarm,8,['horrify' 'dismay' 'alert' 'appall' 'alarm' 'appal'],valid
125,alegre,1,,invalid
126,alert,3,['alert' 'alarm'],valid
127,align,7,['align' 'array' 'aline' 'coordinate' 'ordinate' 'adjust' 'line_up'],valid
128,aliquoted,1,,invalid
129,allay,1,['slake' 'assuage' 'allay' 'quench' 'ease' 'relieve' 'still'],valid
130,allege,1,['say' 'allege' 'aver'],valid
131,allergens,1,,invalid
132,alleviate,7,['assuage' 'facilitate' 'alleviate' 'palliate' 'ease' 'relieve'],valid
133,allocate,31,['apportion' 'allocate'],valid
134,allografted,3,,invalid
135,allot,4,"['deal_out' 'administer' 'parcel_out' 'shell_out' 'assign' 'accord'
 'dish_out' 'dole_out' 'allot' 'dispense' 'grant' 'distribute' 'deal'
 'portion' 'lot' 'mete_out']",valid
136,allotransplanted,1,,invalid
137,allow,199,"['provide' 'give_up' 'tolerate' 'allow' 'permit' 'earmark' 'reserve'
 'set_aside' 'allow_for' 'take_into_account' 'grant' 'appropriate' 'admit'
 'let' 'leave' 'countenance']",valid
138,ally,2,['ally'],valid
139,alter,75,"['modify' 'vary' 'castrate' 'interpolate' 'change' 'neuter' 'spay'
 'falsify' 'alter']",valid
140,alternate,3,"['take_turns' 'jump' 'switch' 'understudy' 'flip' 'flip-flop' 'alternate'
 'interchange' 'tack']",valid
141,alternative,1,,invalid
142,amed,1,,invalid
143,ameliorate,8,['amend' 'meliorate' 'ameliorate' 'improve' 'better'],valid
144,amenable,2,,invalid
145,amend,7,"['amend' 'rectify' 'remedy' 'meliorate' 'remediate' 'repair' 'ameliorate'
 'improve' 'better']",valid
146,ami-,1,,invalid
147,aminopherase,1,,invalid
148,amount,8,['come' 'amount' 'number' 'add_up' 'total'],valid
149,amplify,21,"['overstate' 'hyperbolise' 'inflate' 'expand' 'overdraw' 'amplify'
 'magnify' 'blow_up' 'hyperbolize' 'exaggerate']",valid
150,analyse,166,"['canvas' 'take_apart' 'analyze' 'psychoanalyse' 'dissect' 'examine'
 'psychoanalyze' 'analyse' 'break_down' 'canvass' 'study']",valid
151,analyze,572,"['canvas' 'take_apart' 'analyze' 'psychoanalyse' 'dissect' 'examine'
 'psychoanalyze' 'analyse' 'break_down' 'canvass' 'study']",valid
152,anchor,10,['anchor' 'ground' 'cast_anchor' 'drop_anchor'],valid
153,andduring,1,,invalid
154,andor,1,,invalid
155,angiotensinÃÂÂconverting,1,,invalid
156,ankylose,2,['ankylose' 'ancylose'],valid
157,annotate,2,['gloss' 'annotate' 'comment' 'footnote'],valid
158,announce,6,"['harbinger' 'annunciate' 'herald' 'denote' 'announce' 'declare'
 'foretell']",valid
159,annualized,2,,invalid
160,anonymised,2,,invalid
161,anonymized,6,,invalid
162,anosmia,2,,invalid
163,answer,26,['serve' 'answer' 'reply' 'respond' 'suffice' 'resolve' 'do'],valid
164,antibodies,1680,,invalid
165,antibodyÃÂÂmediated,2,,invalid
166,antibodyÃÂÂsecreting,2,,invalid
167,anticipate,24,"['look_to' 'anticipate' 'expect' 'promise' 'foresee' 'predict' 'call'
 'prognosticate' 'forebode' 'counter' 'look_for' 'forestall' 'previse'
 'foretell' 'foreknow']",valid
168,anticoagulated,2,,invalid
169,antigens,1,,invalid
170,antigenÃÂÂbinding,1,,invalid
171,antigenÃÂÂspecific,1,,invalid
172,antigenÃÂÂtargeted,1,,invalid
173,antihistamines,2,,invalid
174,antiplatelet,1,,invalid
175,antiÃÂÂil17,1,,invalid
176,antiÃÂÂmetabolite,1,,invalid
177,antiÃÂÂs1rbd,1,,invalid
178,apnea,2,,invalid
179,apolipoprotein,1,,invalid
180,appal,1,"['shock' 'horrify' 'dismay' 'appall' 'outrage' 'scandalise' 'offend'
 'scandalize' 'alarm' 'appal']",valid
181,appear,226,['appear' 'come_along' 'look' 'come_out' 'seem'],valid
182,append,2,"['hang_on' 'add' 'append' 'tag_on' 'tack_on' 'supply' 'affix' 'add_on'
 'supplement' 'tack']",valid
183,applicable,2,,invalid
184,apply,189,"['use' 'give' 'put_on' 'utilize' 'enforce' 'lend_oneself' 'implement'
 'utilise' 'apply' 'hold' 'go_for' 'practice' 'employ']",valid
185,appraise,4,['evaluate' 'survey' 'measure' 'assess' 'valuate' 'appraise' 'value'],valid
186,appreciate,6,"['treasure' 'take_account' 'apprize' 'revalue' 'appreciate' 'value'
 'prize' 'apprise']",valid
187,approach,36,"['come_near' 'go_about' 'border_on' 'draw_near' 'near' 'set_about'
 'draw_close' 'go_up' 'approach' 'come_on']",valid
188,appropriate,8,"['seize' 'allow' 'earmark' 'reserve' 'capture' 'set_aside' 'appropriate'
 'conquer']",valid
189,approve,258,['okay' 'sanction' 'approve' 'O.K.'],valid
190,approved-,1,,invalid
191,approvedlicensed,1,,invalid
192,approvedrepurposed,1,,invalid
193,approximate,5,['estimate' 'judge' 'approximate' 'guess' 'gauge' 'come_close'],valid
194,apr,2,,invalid
195,apv,2,,invalid
196,arboviruses,2,,invalid
197,archive,3,['archive' 'file_away'],valid
198,argue,18,['contend' 'indicate' 'argue' 'debate' 'fence' 'reason'],valid
199,arise,47,"['develop' 'rise' 'spring_up' 'come_up' 'lift' 'stand_up' 'rebel' 'grow'
 'turn_out' 'originate' 'get_up' 'go_up' 'move_up' 'bob_up' 'rise_up'
 'arise' 'uprise']",valid
200,arm,13,['build_up' 'gird' 'arm' 'fortify'],valid
201,arouse,1,"['wind_up' 'kindle' 'invoke' 'come_alive' 'turn_on' 'sex' 'wake' 'conjure'
 'elicit' 'evoke' 'stimulate' 'awaken' 'call_down' 'wake_up' 'provoke'
 'waken' 'rouse' 'awake' 'raise' 'stir' 'brace' 'enkindle' 'conjure_up'
 'bring_up' 'put_forward' 'arouse' 'call_forth' 'energise' 'excite'
 'perk_up' 'fire' 'energize']",valid
202,arrange,1,"['set_up' 'coiffure' 'arrange' 'format' 'coiffe' 'dress' 'order' 'fix_up'
 'coif' 'set' 'do' 'stage' 'put']",valid
203,array,1,['align' 'lay_out' 'array' 'set_out' 'range'],valid
204,arrive,2,['come' 'go_far' 'arrive' 'get_in' 'get' 'make_it'],valid
205,arrs,2,,invalid
206,ars,7,,invalid
207,arthritides,1,,invalid
208,asab,4,,invalid
209,ascend,6,['rise' 'climb_up' 'come_up' 'go_up' 'ascend' 'move_up' 'uprise'],valid
210,ascertain,19,"['determine' 'ensure' 'see' 'insure' 'ascertain' 'watch' 'learn'
 'see_to_it' 'find_out' 'check' 'assure' 'find' 'control']",valid
211,ascribe,6,['ascribe' 'impute' 'attribute' 'assign'],valid
212,ask,47,"['call_for' 'postulate' 'expect' 'need' 'necessitate' 'involve' 'ask'
 'inquire' 'enquire' 'require' 'take' 'demand']",valid
213,aspect,1,,invalid
214,aspirate,1,['aspirate' 'suck_out' 'draw_out'],valid
215,aspire,1,['draw_a_bead_on' 'shoot_for' 'aspire' 'aim'],valid
216,assay,248,['try' 'essay' 'attempt' 'assay' 'seek'],valid
217,assaysbased,1,,invalid
218,assemble,2,"['set_up' 'tack_together' 'assemble' 'put_together' 'meet' 'gather'
 'forgather' 'foregather' 'piece' 'get_together' 'tack']",valid
219,assert,2,"['put_forward' 'assert' 'aver' 'insist' 'verify' 'asseverate' 'swan'
 'avow' 'maintain' 'affirm' 'swear']",valid
220,assesed,1,,invalid
221,assess,1098,['evaluate' 'tax' 'measure' 'assess' 'valuate' 'appraise' 'value'],valid
222,assign,189,"['assign' 'impute' 'designate' 'specify' 'delegate' 'ascribe' 'allot'
 'set_apart' 'depute' 'arrogate' 'portion' 'attribute' 'put']",valid
223,assist,39,['attend_to' 'attend' 'serve' 'aid' 'assist' 'help' 'wait_on'],valid
224,associate,1982,"['colligate' 'link_up' 'affiliate' 'associate' 'tie_in' 'assort' 'link'
 'consociate' 'relate' 'connect' 'consort']",valid
225,associationsÃÂÂ,1,,invalid
226,assume,52,"['don' 'put_on' 'take_for_granted' 'strike' 'assume' 'wear' 'arrogate'
 'presume' 'accept' 'simulate' 'acquire' 'seize' 'get_into' 'sham' 'usurp'
 'take_up' 'take_on' 'take_over' 'adopt' 'feign' 'bear' 'take']",valid
227,assure,1,"['guarantee' 'ensure' 'tell' 'see' 'insure' 'control' 'ascertain'
 'reassure' 'promise' 'see_to_it' 'check' 'secure' 'assure']",valid
228,asymptomaticmild,2,,invalid
229,attach,11,['bond' 'attach' 'bind' 'impound' 'seize' 'sequester' 'confiscate' 'tie'],valid
230,attain,11,"['hit' 'chance_upon' 'attain' 'fall_upon' 'light_upon' 'happen_upon'
 'come_across' 'discover' 'gain' 'strike' 'achieve' 'come_upon'
 'chance_on' 'accomplish' 'make' 'arrive_at' 'reach']",valid
231,attempt,8,['try' 'essay' 'set_about' 'assay' 'attempt' 'seek' 'undertake'],valid
232,attend,67,"['hang' 'attend_to' 'attend' 'serve' 'see' 'advert' 'give_ear' 'look'
 'pay_heed' 'assist' 'wait_on' 'go_to' 'take_care']",valid
233,attenuate,154,['rarefy' 'attenuate'],valid
234,attest,2,"['evidence' 'attest' 'certify' 'take_the_stand' 'manifest' 'testify'
 'bear_witness' 'demonstrate']",valid
235,attract,7,['draw' 'attract' 'pull_in' 'pull' 'appeal' 'draw_in'],valid
236,attributable,3,,invalid
237,attribute,50,['ascribe' 'impute' 'attribute' 'assign'],valid
238,augment,21,['augment'],valid
239,august,6,,invalid
240,authorise,4,['authorize' 'empower' 'authorise' 'clear' 'pass'],valid
241,authorize,104,['authorize' 'empower' 'authorise' 'clear' 'pass'],valid
242,authorizedapproved,1,,invalid
243,autohct,2,,invalid
244,autoimmuneÃÂÂmediated,1,,invalid
245,automate,58,['automate' 'automatise' 'automatize'],valid
246,autopsied,1,,invalid
247,available,2,,invalid
248,average,12,['average_out' 'average'],valid
249,avert,17,"['debar' 'avoid' 'turn_away' 'fend_off' 'forefend' 'forfend' 'ward_off'
 'avert' 'head_off' 'obviate' 'stave_off' 'deflect']",valid
250,avoid,95,"['avoid' 'debar' 'nullify' 'fend_off' 'void' 'forefend' 'forfend'
 'ward_off' 'avert' 'quash' 'invalidate' 'annul' 'keep_off' 'head_off'
 'obviate' 'stave_off' 'deflect']",valid
251,avwdacquired,1,,invalid
252,await,19,['await' 'look' 'expect' 'wait'],valid
253,awaken,1,['awake' 'arouse' 'rouse' 'awaken' 'come_alive' 'wake_up' 'wake' 'waken'],valid
254,award,1,['present' 'award' 'grant'],valid
255,ay1,7,,invalid
256,b117,3,,invalid
257,backgroundaim,1,,invalid
258,backgroundfollowing,1,,invalid
259,backgroundmrna,1,,invalid
260,backgroundnursing,1,,invalid
261,backgroundsymptoms,1,,invalid
262,backgroundthe,7,,invalid
263,backgroundunderstanding,3,,invalid
264,bacteraemia,1,,invalid
265,balance,22,['poise' 'equilibrise' 'equilibrize' 'balance' 'equilibrate'],valid
266,bank,3,['trust' 'rely' 'bank' 'deposit' 'swear'],valid
267,barcoded,1,,invalid
268,base,1801,['found' 'free-base' 'base' 'establish' 'ground'],valid
269,basedinactivated,1,,invalid
270,baseline,5,,invalid
271,battle,2,['battle' 'combat'],valid
272,bau,26,,invalid
273,bbibo,2,,invalid
274,bc19ÃÂ,1,,invalid
275,bcs,2,,invalid
276,bdde,1,,invalid
277,bear,79,"['contain' 'have' 'suffer' 'tolerate' 'have_a_bun_in_the_oven' 'gestate'
 'assume' 'wear' 'hold' 'behave' 'pay' 'support' 'accept' 'birth' 'stand'
 'deport' 'deliver' 'endure' 'comport' 'yield' 'digest' 'stomach' 'carry'
 'brook' 'abide' 'take_over' 'expect' 'give_birth' 'put_up' 'bear'
 'turn_out' 'stick_out' 'conduct' 'acquit']",valid
278,beatsminute,1,,invalid
279,become,336,['turn' 'suit' 'become' 'go' 'get'],valid
280,bed,2,"['bang' 'have_it_away' 'lie_with' 'get_laid' 'jazz' 'eff' 'hit_the_hay'
 'have_a_go_at_it' 'have_intercourse' 'turn_in' 'go_to_bed' 'get_it_on'
 'retire' 'hump' 'screw' 'love' 'be_intimate' 'bed' 'go_to_sleep'
 'sleep_together' 'do_it' 'hit_the_sack' 'make_love' 'kip_down'
 'roll_in_the_hay' 'have_it_off' 'bonk' 'sack_out' 'fuck' 'crawl_in'
 'have_sex' 'make_out' 'sleep_with' 'know']",valid
281,befragten,1,,invalid
282,begin,171,"['lead_off' 'get_down' 'get' 'commence' 'begin' 'set_about' 'start'
 'set_out' 'start_out']",valid
283,behave,2,['carry' 'comport' 'do' 'bear' 'deport' 'act' 'behave' 'conduct' 'acquit'],valid
284,bei,5,,invalid
285,believe,22,['conceive' 'trust' 'think' 'consider' 'believe'],valid
286,belong,66,['belong_to' 'belong' 'go'],valid
287,benchmarked,1,,invalid
288,benchmarking,1,,invalid
289,beneficial,3,,invalid
290,benefit,61,['gain' 'profit' 'benefit' 'do_good'],valid
291,bestÃÂÂevaluated,1,,invalid
292,betacoronaviruses,2,,invalid
293,beware,1,['mind' 'beware'],valid
294,bias,4,['bias' 'predetermine'],valid
295,bind,987,"['bond' 'stick_to' 'attach' 'bind' 'stick' 'tie_down' 'truss' 'oblige'
 'constipate' 'tie_up' 'hold' 'obligate' 'bandage' 'tie' 'adhere'
 'hold_fast']",valid
296,bindingneutralizing,1,,invalid
297,biobanked,2,,invalid
298,bioconcept,1,,invalid
299,biodegrade,2,['biodegrade'],valid
300,biodmard,1,,invalid
301,biopsy,1,,invalid
302,biopsyÃÂÂproven,1,,invalid
303,biosensing,1,,invalid
304,biothreat,1,,invalid
305,biotinylated,4,,invalid
306,birth,2,['have' 'birth' 'give_birth' 'bear' 'deliver'],valid
307,birthweight,6,,invalid
308,bisphosphonate,1,,invalid
309,bite,4,['seize_with_teeth' 'prick' 'burn' 'bite' 'sting'],valid
310,bivariate,2,,invalid
311,bleed,36,"['phlebotomise' 'leech' 'hemorrhage' 'bleed' 'phlebotomize' 'shed_blood'
 'run']",valid
312,bless,1,['sign' 'bless' 'sanctify' 'hallow' 'consecrate'],valid
313,blind,72,['dim' 'blind'],valid
314,blister,1,['scald' 'blister' 'whip' 'vesicate'],valid
315,block,54,"['immobilise' 'stymie' 'blank_out' 'forget' 'lug' 'kibosh' 'barricade'
 'block' 'halt' 'embarrass' 'obturate' 'deflect' 'stuff' 'freeze'
 'blockade' 'parry' 'stop' 'immobilize' 'jam' 'block_up' 'bar' 'choke_up'
 'stymy' 'occlude' 'obstruct' 'impede' 'block_off' 'hinder' 'draw_a_blank'
 'close_up']",valid
316,blockade,3,"['obstruct' 'stymie' 'block_up' 'bar' 'blockade' 'embarrass' 'block_off'
 'barricade' 'stop' 'hinder' 'block' 'stymy' 'seal_off']",valid
317,blot,4,['spot' 'blob' 'fleck' 'blot'],valid
318,blow,4,"['be_adrift' 'swash' 'blow' 'vaunt' 'suck' 'foul_up' 'botch_up'
 'bollocks_up' 'spoil' 'mishandle' 'fuck_up' 'shoot_a_line' 'flub' 'float'
 'bollix_up' 'bobble' 'muck_up' 'fellate' 'gas' 'tout' 'fluff' 'blow_out'
 'burn_out' 'bungle' 'mess_up' 'bollocks' 'shove_off' 'screw_up' 'bodge'
 'gasconade' 'waste' 'boast' 'fumble' 'louse_up' 'ball_up' 'muff'
 'bluster' 'drift' 'squander' 'botch' 'shove_along' 'bumble' 'go_down_on'
 'brag' 'bollix']",valid
319,blunt,27,['numb' 'deaden' 'dull' 'blunt' 'benumb'],valid
320,blur,2,"['glaze_over' 'film_over' 'confuse' 'blur' 'smutch' 'obnubilate' 'smear'
 'dim' 'slur' 'blear' 'smudge' 'obscure']",valid
321,bmi,1,,invalid
322,bmt,1,,invalid
323,boardÃÂÂapproved,1,,invalid
324,bode,1,"['betoken' 'augur' 'auspicate' 'forecast' 'predict' 'omen' 'foretell'
 'prefigure' 'bode' 'portend' 'foreshadow' 'prognosticate' 'presage']",valid
325,bolster,1,['bolster' 'bolster_up' 'pad'],valid
326,boost,448,"['boost' 'encourage' 'advance' 'further' 'supercharge' 'hike' 'hike_up'
 'promote']",valid
327,boostered,1,,invalid
328,bootstrapped,2,,invalid
329,bootstrapping,2,,invalid
330,border,1,"['environ' 'butt_against' 'skirt' 'frame' 'abut' 'butt' 'march' 'edge'
 'surround' 'border' 'butt_on' 'adjoin' 'frame_in' 'bound' 'ring']",valid
331,bordetella,1,,invalid
332,borgpetersenii,1,,invalid
333,bovis,2,,invalid
334,bowel,3,,invalid
335,bpiv,2,,invalid
336,br,33,,invalid
337,break,8,"['develop' 'break' 'weaken' 'break_off' 'give_way' 'conk_out' 'discover'
 'kick_downstairs' 'fall_apart' 'damp' 'wear' 'split_up' 'infract'
 'intermit' 'bust' 'get_around' 'better' 'die' 'wear_out' 'snap_off'
 'burst' 'come_apart' 'separate' 'transgress' 'offend' 'break_up'
 'fracture' 'get_out' 'stop' 'go' 'disclose' 'split' 'dampen' 'break_in'
 'let_out' 'bankrupt' 'pause' 'demote' 'give' 'violate' 'break-dance'
 'go_against' 'reveal' 'go_bad' 'smash' 'cave_in' 'bring_out'
 'break_dance' 'unwrap' 'check' 'bump' 'give_away' 'fail' 'soften'
 'fall_in' 'expose' 'part' 'founder' 'relegate' 'divulge' 'let_on'
 'give_out' 'crack' 'break_out' 'erupt' 'recrudesce' 'interrupt'
 'discontinue' 'breach' 'break_down' 'collapse' 'ruin' 'break_away']",valid
338,breakthrough,2,,invalid
339,breastfed,14,,invalid
340,breastfeed,47,['wet-nurse' 'give_suck' 'suck' 'lactate' 'breastfeed' 'suckle' 'nurse'],valid
341,breathe,6,"['breathe' 'emit' 'pass_off' 'respire' ""catch_one's_breath"" 'rest'
 'suspire' 'take_a_breather' 'take_a_breath']",valid
342,breed,7,['cover' 'multiply' 'spawn' 'breed' 'engender'],valid
343,bridge,2,['bridge' 'bridge_over'],valid
344,brii-179,9,,invalid
345,bring,34,"['institute' 'make_for' 'bestow' 'add' 'play' 'wreak' 'contribute'
 'convey' 'work' 'bring_in' 'bring' 'lend' 'land' 'take' 'impart' 'get'
 'fetch']",valid
346,broaden,10,['widen' 'broaden' 'diversify' 'extend' 'branch_out'],valid
347,bruise,3,['spite' 'injure' 'wound' 'contuse' 'bruise' 'offend' 'hurt'],valid
348,brunt,1,,invalid
349,btki,1,,invalid
350,bud,1,['bud'],valid
351,budesonide,1,,invalid
352,buffer,2,['cushion' 'soften' 'buffer'],valid
353,build,24,"['build' 'establish' 'progress' 'ramp_up' 'build_up' 'construct' 'work_up'
 'make']",valid
354,bun,1,,invalid
355,burden,1,['burthen' 'weight_down' 'burden' 'charge' 'saddle' 'weight'],valid
356,burgeon,1,['burgeon'],valid
357,burn,8,"['cauterise' 'cauterize' 'burn_down' 'sunburn' 'glow' 'burn_off' 'combust'
 'incinerate' 'cut' 'burn_up' 'burn' 'bite' 'fire' 'sting']",valid
358,bypass,2,['go_around' 'get_around' 'bypass' 'short-circuit'],valid
359,bÃÂÂcellÃÂÂdepleted,2,,invalid
360,bÃÂÂexpressing,1,,invalid
361,c_lio_lirandomised,1,,invalid
362,c_lio_lirepeated,1,,invalid
363,c_lio_lireporting,1,,invalid
364,c_lio_listate,1,,invalid
365,cahmb,1,,invalid
366,calculate,205,"['estimate' 'compute' 'figure' 'count_on' 'forecast' 'account' 'aim'
 'depend' 'work_out' 'look' 'cipher' 'bet' 'count' 'reckon' 'calculate'
 'cypher' 'direct']",valid
367,calibrate,20,['calibrate' 'fine-tune' 'graduate'],valid
368,caliciviruses,1,,invalid
